series,c,loglik_exact,c_true,phi,nu
Serie_1,0.47222222222222215,-2991.735999488844,0.2,0.965,2.5
Serie_1,0.48181818181818176,-2993.8487997960697,0.2,0.965,2.5
Serie_1,0.49141414141414136,-2995.9735204345266,0.2,0.965,2.5
Serie_1,0.501010101010101,-2998.1090285867745,0.2,0.965,2.5
Serie_1,0.5106060606060606,-3000.2542832532235,0.2,0.965,2.5
Serie_1,0.5202020202020202,-3002.4083266642015,0.2,0.965,2.5
Serie_1,0.5297979797979798,-3004.5702766211043,0.2,0.965,2.5
Serie_1,0.5393939393939394,-3006.73931965236,0.2,0.965,2.5
Serie_1,0.548989898989899,-3008.914704885417,0.2,0.965,2.5
Serie_1,0.5585858585858586,-3011.0957385498077,0.2,0.965,2.5
Serie_1,0.5681818181818182,-3013.2817790371796,0.2,0.965,2.5
Serie_1,0.5777777777777778,-3015.4722324542486,0.2,0.965,2.5
Serie_1,0.5873737373737373,-3017.666548612717,0.2,0.965,2.5
Serie_1,0.5969696969696969,-3019.864217407342,0.2,0.965,2.5
Serie_1,0.6065656565656565,-3022.0647655395082,0.2,0.965,2.5
Serie_1,0.6161616161616161,-3024.2677535488315,0.2,0.965,2.5
Serie_1,0.6257575757575757,-3026.4727731197986,0.2,0.965,2.5
Serie_1,0.6353535353535353,-3028.6794446347403,0.2,0.965,2.5
Serie_1,0.6449494949494949,-3030.8874149472467,0.2,0.965,2.5
Serie_1,0.6545454545454545,-3033.096355353751,0.2,0.965,2.5
Serie_1,0.6641414141414141,-3035.3059597430874,0.2,0.965,2.5
Serie_1,0.6737373737373737,-3037.5159429063824,0.2,0.965,2.5
Serie_1,0.6833333333333333,-3039.726038991492,0.2,0.965,2.5
Serie_1,0.692929292929293,-3041.9360000879783,0.2,0.965,2.5
Serie_1,0.7025252525252526,-3044.145594930138,0.2,0.965,2.5
Serie_1,0.7121212121212122,-3046.3546077068427,0.2,0.965,2.5
Serie_1,0.7217171717171718,-3048.5628369683127,0.2,0.965,2.5
Serie_1,0.7313131313131314,-3050.7700946208815,0.2,0.965,2.5
Serie_1,0.740909090909091,-3052.9762050015897,0.2,0.965,2.5
Serie_1,0.7505050505050505,-3055.181004025657,0.2,0.965,2.5
Serie_1,0.76010101010101,-3057.3843384001048,0.2,0.965,2.5
Serie_1,0.7696969696969697,-3059.5860648979096,0.2,0.965,2.5
Serie_1,0.7792929292929293,-3061.786049687263,0.2,0.965,2.5
Serie_1,0.7888888888888889,-3063.9841677113654,0.2,0.965,2.5
Serie_1,0.7984848484848485,-3066.1803021142673,0.2,0.965,2.5
Serie_1,0.8080808080808081,-3068.374343709087,0.2,0.965,2.5
Serie_1,0.8176767676767677,-3070.5661904848985,0.2,0.965,2.5
Serie_1,0.8272727272727273,-3072.7557471492405,0.2,0.965,2.5
Serie_1,0.8368686868686869,-3074.9429247032826,0.2,0.965,2.5
Serie_1,0.8464646464646465,-3077.127640047038,0.2,0.965,2.5
Serie_1,0.8560606060606061,-3079.3098156121773,0.2,0.965,2.5
Serie_1,0.8656565656565657,-3081.489379020398,0.2,0.965,2.5
Serie_1,0.8752525252525253,-3083.6662627651426,0.2,0.965,2.5
Serie_1,0.8848484848484849,-3085.840403915082,0.2,0.965,2.5
Serie_1,0.8944444444444444,-3088.011743837559,0.2,0.965,2.5
Serie_1,0.904040404040404,-3090.180227940466,0.2,0.965,2.5
Serie_1,0.9136363636363636,-3092.3458054312837,0.2,0.965,2.5
Serie_1,0.9232323232323232,-3094.5084290919126,0.2,0.965,2.5
Serie_1,0.9328282828282828,-3096.6680550681385,0.2,0.965,2.5
Serie_1,0.9424242424242424,-3098.824642672719,0.2,0.965,2.5
Serie_1,0.952020202020202,-3100.978154201017,0.2,0.965,2.5
Serie_1,0.9616161616161616,-3103.1285547584034,0.2,0.965,2.5
Serie_1,0.9712121212121212,-3105.2758120984236,0.2,0.965,2.5
Serie_1,0.9808080808080808,-3107.4198964711704,0.2,0.965,2.5
Serie_1,0.9904040404040404,-3109.5607804809656,0.2,0.965,2.5
Serie_1,1.0,-3111.6984389528407,0.2,0.965,2.5
Serie_2,0.05,-3019.1420483674447,0.4,0.8,3.0
Serie_2,0.0595959595959596,-2858.687645269053,0.4,0.8,3.0
Serie_2,0.0691919191919192,-2738.711255531001,0.4,0.8,3.0
Serie_2,0.0787878787878788,-2645.8130073172024,0.4,0.8,3.0
Serie_2,0.08838383838383838,-2571.9499948500643,0.4,0.8,3.0
Serie_2,0.09797979797979797,-2511.9938222149253,0.4,0.8,3.0
Serie_2,0.10757575757575757,-2462.5159161460656,0.4,0.8,3.0
Serie_2,0.11717171717171716,-2421.134940849381,0.4,0.8,3.0
Serie_2,0.12676767676767675,-2386.144061760892,0.4,0.8,3.0
Serie_2,0.13636363636363635,-2356.28716181087,0.4,0.8,3.0
Serie_2,0.14595959595959596,-2330.6187935488233,0.4,0.8,3.0
Serie_2,0.15555555555555556,-2308.413403142672,0.4,0.8,3.0
Serie_2,0.16515151515151516,-2289.1046923893364,0.4,0.8,3.0
Serie_2,0.17474747474747476,-2272.2440401103054,0.4,0.8,3.0
Serie_2,0.1843434343434343,-2257.471331571706,0.4,0.8,3.0
Serie_2,0.1939393939393939,-2244.4940743234915,0.4,0.8,3.0
Serie_2,0.2035353535353535,-2233.0721743428867,0.4,0.8,3.0
Serie_2,0.21313131313131312,-2223.006657358028,0.4,0.8,3.0
Serie_2,0.22272727272727272,-2214.131190168165,0.4,0.8,3.0
Serie_2,0.23232323232323232,-2206.3056219677055,0.4,0.8,3.0
Serie_2,0.24191919191919192,-2199.4110047709014,0.4,0.8,3.0
Serie_2,0.2515151515151515,-2193.345711648654,0.4,0.8,3.0
Serie_2,0.26111111111111107,-2188.0223799562496,0.4,0.8,3.0
Serie_2,0.2707070707070707,-2183.3654816474773,0.4,0.8,3.0
Serie_2,0.2803030303030303,-2179.3093752923087,0.4,0.8,3.0
Serie_2,0.2898989898989899,-2175.796731746069,0.4,0.8,3.0
Serie_2,0.2994949494949495,-2172.7772522908767,0.4,0.8,3.0
Serie_2,0.3090909090909091,-2170.2066176446015,0.4,0.8,3.0
Serie_2,0.31868686868686863,-2168.0456206475337,0.4,0.8,3.0
Serie_2,0.32828282828282823,-2166.2594461619087,0.4,0.8,3.0
Serie_2,0.33787878787878783,-2164.817069775419,0.4,0.8,3.0
Serie_2,0.34747474747474744,-2163.690753005501,0.4,0.8,3.0
Serie_2,0.35707070707070704,-2162.8556173679117,0.4,0.8,3.0
Serie_2,0.36666666666666664,-2162.2892832681337,0.4,0.8,3.0
Serie_2,0.37626262626262624,-2161.971562464513,0.4,0.8,3.0
Serie_2,0.38585858585858585,-2161.884195033141,0.4,0.8,3.0
Serie_2,0.39545454545454545,-2162.0106234805544,0.4,0.8,3.0
Serie_2,0.405050505050505,-2162.3357980092533,0.4,0.8,3.0
Serie_2,0.4146464646464646,-2162.846008023627,0.4,0.8,3.0
Serie_2,0.4242424242424242,-2163.5287358309993,0.4,0.8,3.0
Serie_2,0.4338383838383838,-2164.3725291910596,0.4,0.8,3.0
Serie_2,0.4434343434343434,-2165.3668899324994,0.4,0.8,3.0
Serie_2,0.453030303030303,-2166.502176315799,0.4,0.8,3.0
Serie_2,0.4626262626262626,-2167.76951719724,0.4,0.8,3.0
Serie_2,0.47222222222222215,-2169.160736358034,0.4,0.8,3.0
Serie_2,0.48181818181818176,-2170.6682856171547,0.4,0.8,3.0
Serie_2,0.49141414141414136,-2172.285185557334,0.4,0.8,3.0
Serie_2,0.501010101010101,-2174.0049728689446,0.4,0.8,3.0
Serie_2,0.5106060606060606,-2175.821653462793,0.4,0.8,3.0
Serie_2,0.5202020202020202,-2177.7296606253344,0.4,0.8,3.0
Serie_2,0.5297979797979798,-2179.723817592708,0.4,0.8,3.0
Serie_2,0.5393939393939394,-2181.799304006782,0.4,0.8,3.0
Serie_2,0.548989898989899,-2183.9516257899745,0.4,0.8,3.0
Serie_2,0.5585858585858586,-2186.176588037561,0.4,0.8,3.0
Serie_2,0.5681818181818182,-2188.4702705796053,0.4,0.8,3.0
Serie_2,0.5777777777777778,-2190.829005909515,0.4,0.8,3.0
Serie_2,0.5873737373737373,-2193.249359215314,0.4,0.8,3.0
Serie_2,0.5969696969696969,-2195.728110282573,0.4,0.8,3.0
Serie_2,0.6065656565656565,-2198.2622370668564,0.4,0.8,3.0
Serie_2,0.6161616161616161,-2200.848900758086,0.4,0.8,3.0
Serie_2,0.6257575757575757,-2203.4854321804232,0.4,0.8,3.0
Serie_2,0.6353535353535353,-2206.1693193900096,0.4,0.8,3.0
Serie_2,0.6449494949494949,-2208.8981963487163,0.4,0.8,3.0
Serie_2,0.6545454545454545,-2211.669832566218,0.4,0.8,3.0
Serie_2,0.6641414141414141,-2214.48212361476,0.4,0.8,3.0
Serie_2,0.6737373737373737,-2217.333082431726,0.4,0.8,3.0
Serie_2,0.6833333333333333,-2220.220831334439,0.4,0.8,3.0
Serie_2,0.692929292929293,-2223.143594679842,0.4,0.8,3.0
Serie_2,0.7025252525252526,-2226.099692108805,0.4,0.8,3.0
Serie_2,0.7121212121212122,-2229.0875323213654,0.4,0.8,3.0
Serie_2,0.7217171717171718,-2232.105607334576,0.4,0.8,3.0
Serie_2,0.7313131313131314,-2235.152487179778,0.4,0.8,3.0
Serie_2,0.740909090909091,-2238.226815000363,0.4,0.8,3.0
Serie_2,0.7505050505050505,-2241.3273025151334,0.4,0.8,3.0
Serie_2,0.76010101010101,-2244.4527258156218,0.4,0.8,3.0
Serie_2,0.7696969696969697,-2247.601921469068,0.4,0.8,3.0
Serie_2,0.7792929292929293,-2250.7737829012344,0.4,0.8,3.0
Serie_2,0.7888888888888889,-2253.9672570358844,0.4,0.8,3.0
Serie_2,0.7984848484848485,-2257.181341169781,0.4,0.8,3.0
Serie_2,0.8080808080808081,-2260.415080064254,0.4,0.8,3.0
Serie_2,0.8176767676767677,-2263.6675632357897,0.4,0.8,3.0
Serie_2,0.8272727272727273,-2266.937922430016,0.4,0.8,3.0
Serie_2,0.8368686868686869,-2270.2253292646787,0.4,0.8,3.0
Serie_2,0.8464646464646465,-2273.5289930285376,0.4,0.8,3.0
Serie_2,0.8560606060606061,-2276.848158624213,0.4,0.8,3.0
Serie_2,0.8656565656565657,-2280.182104644124,0.4,0.8,3.0
Serie_2,0.8752525252525253,-2283.530141569581,0.4,0.8,3.0
Serie_2,0.8848484848484849,-2286.891610083806,0.4,0.8,3.0
Serie_2,0.8944444444444444,-2290.26587949067,0.4,0.8,3.0
Serie_2,0.904040404040404,-2293.652346231406,0.4,0.8,3.0
Serie_2,0.9136363636363636,-2297.050432492264,0.4,0.8,3.0
Serie_2,0.9232323232323232,-2300.459584896711,0.4,0.8,3.0
Serie_2,0.9328282828282828,-2303.8792732761754,0.4,0.8,3.0
Serie_2,0.9424242424242424,-2307.308989513934,0.4,0.8,3.0
Serie_2,0.952020202020202,-2310.7482464570858,0.4,0.8,3.0
Serie_2,0.9616161616161616,-2314.196576891887,0.4,0.8,3.0
Serie_2,0.9712121212121212,-2317.653532578394,0.4,0.8,3.0
Serie_2,0.9808080808080808,-2321.1186833401484,0.4,0.8,3.0
Serie_2,0.9904040404040404,-2324.591616205584,0.4,0.8,3.0
Serie_2,1.0,-2328.0719345974817,0.4,0.8,3.0
Serie_3,0.05,-1782.6751773021292,0.2,0.8,2.5
Serie_3,0.0595959595959596,-1723.74434588044,0.2,0.8,2.5
Serie_3,0.0691919191919192,-1681.2466792788534,0.2,0.8,2.5
Serie_3,0.0787878787878788,-1649.6823873612418,0.2,0.8,2.5
Serie_3,0.08838383838383838,-1625.7671849166259,0.2,0.8,2.5
Serie_3,0.09797979797979797,-1607.4152461032672,0.2,0.8,2.5
Serie_3,0.10757575757575757,-1593.2365380989818,0.2,0.8,2.5
Serie_3,0.11717171717171716,-1582.268130292175,0.2,0.8,2.5
Serie_3,0.12676767676767675,-1573.8213661276031,0.2,0.8,2.5
Serie_3,0.13636363636363635,-1567.3904252971586,0.2,0.8,2.5
Serie_3,0.14595959595959596,-1562.5952647916733,0.2,0.8,2.5
Serie_3,0.15555555555555556,-1559.144722811406,0.2,0.8,2.5
Serie_3,0.16515151515151516,-1556.8119211128417,0.2,0.8,2.5
Serie_3,0.17474747474747476,-1555.4174263932046,0.2,0.8,2.5
Serie_3,0.1843434343434343,-1554.8174527536682,0.2,0.8,2.5
Serie_3,0.1939393939393939,-1554.8954249979179,0.2,0.8,2.5
Serie_3,0.2035353535353535,-1555.555834373656,0.2,0.8,2.5
Serie_3,0.21313131313131312,-1556.7196902138687,0.2,0.8,2.5
Serie_3,0.22272727272727272,-1558.3211030974385,0.2,0.8,2.5
Serie_3,0.23232323232323232,-1560.3046836405938,0.2,0.8,2.5
Serie_3,0.24191919191919192,-1562.6235380962994,0.2,0.8,2.5
Serie_3,0.2515151515151515,-1565.237706651379,0.2,0.8,2.5
Serie_3,0.26111111111111107,-1568.1129342361698,0.2,0.8,2.5
Serie_3,0.2707070707070707,-1571.2196939698993,0.2,0.8,2.5
Serie_3,0.2803030303030303,-1574.532404595078,0.2,0.8,2.5
Serie_3,0.2898989898989899,-1578.0287983333524,0.2,0.8,2.5
Serie_3,0.2994949494949495,-1581.689406443432,0.2,0.8,2.5
Serie_3,0.3090909090909091,-1585.4971376596068,0.2,0.8,2.5
Serie_3,0.31868686868686863,-1589.4369305030853,0.2,0.8,2.5
Serie_3,0.32828282828282823,-1593.4954647822447,0.2,0.8,2.5
Serie_3,0.33787878787878783,-1597.6609208446264,0.2,0.8,2.5
Serie_3,0.34747474747474744,-1601.9227776037574,0.2,0.8,2.5
Serie_3,0.35707070707070704,-1606.2716422436795,0.2,0.8,2.5
Serie_3,0.36666666666666664,-1610.6991059519537,0.2,0.8,2.5
Serie_3,0.37626262626262624,-1615.1976211555761,0.2,0.8,2.5
Serie_3,0.38585858585858585,-1619.760396612203,0.2,0.8,2.5
Serie_3,0.39545454545454545,-1624.381307399972,0.2,0.8,2.5
