series,nu,loglik_exact,nu_true,phi,c
Serie_1,2.5530201342281877,-2949.1765115133753,2.5,0.965,0.2
Serie_1,2.5718120805369127,-2949.148127498069,2.5,0.965,0.2
Serie_1,2.5906040268456376,-2949.123607651375,2.5,0.965,0.2
Serie_1,2.6093959731543626,-2949.1029486163575,2.5,0.965,0.2
Serie_1,2.628187919463087,-2949.086147047461,2.5,0.965,0.2
Serie_1,2.646979865771812,-2949.073199610136,2.5,0.965,0.2
Serie_1,2.6657718120805365,-2949.064102980445,2.5,0.965,0.2
Serie_1,2.6845637583892614,-2949.0588538446855,2.5,0.965,0.2
Serie_1,2.7033557046979864,-2949.0574488989882,2.5,0.965,0.2
Serie_1,2.7221476510067113,-2949.059884848991,2.5,0.965,0.2
Serie_1,2.7409395973154362,-2949.066158409538,2.5,0.965,0.2
Serie_1,2.759731543624161,-2949.076266304347,2.5,0.965,0.2
Serie_1,2.7785234899328857,-2949.0902052656397,2.5,0.965,0.2
Serie_1,2.7973154362416106,-2949.107972033962,2.5,0.965,0.2
Serie_1,2.816107382550335,-2949.1295633578206,2.5,0.965,0.2
Serie_1,2.83489932885906,-2949.1549759934683,2.5,0.965,0.2
Serie_1,2.853691275167785,-2949.184206704622,2.5,0.965,0.2
Serie_1,2.87248322147651,-2949.217252262246,2.5,0.965,0.2
Serie_1,2.891275167785235,-2949.2541094442536,2.5,0.965,0.2
Serie_1,2.91006711409396,-2949.294775035389,2.5,0.965,0.2
Serie_1,2.9288590604026843,-2949.339245826978,2.5,0.965,0.2
Serie_1,2.9476510067114092,-2949.387518616654,2.5,0.965,0.2
Serie_1,2.9664429530201337,-2949.4395902082256,2.5,0.965,0.2
Serie_1,2.9852348993288587,-2949.495457411529,2.5,0.965,0.2
Serie_1,3.0040268456375836,-2949.555117042187,2.5,0.965,0.2
Serie_1,3.0228187919463085,-2949.6185659214493,2.5,0.965,0.2
Serie_1,3.0416107382550335,-2949.685800876047,2.5,0.965,0.2
Serie_1,3.0604026845637584,-2949.756818738042,2.5,0.965,0.2
Serie_1,3.0791946308724834,-2949.8316163446907,2.5,0.965,0.2
Serie_1,3.097986577181208,-2949.9101905382536,2.5,0.965,0.2
Serie_1,3.116778523489933,-2949.992538165891,2.5,0.965,0.2
Serie_1,3.1355704697986573,-2950.078656079557,2.5,0.965,0.2
Serie_1,3.154362416107382,-2950.168541135861,2.5,0.965,0.2
Serie_1,3.173154362416107,-2950.2621901958864,2.5,0.965,0.2
Serie_1,3.191946308724832,-2950.359600125232,2.5,0.965,0.2
Serie_1,3.210738255033557,-2950.4607677937074,2.5,0.965,0.2
Serie_1,3.229530201342282,-2950.5656900754134,2.5,0.965,0.2
Serie_1,3.248322147651007,-2950.6743638485495,2.5,0.965,0.2
Serie_1,3.267114093959731,-2950.78678599531,2.5,0.965,0.2
Serie_1,3.285906040268456,-2950.9029534018114,2.5,0.965,0.2
Serie_1,3.304697986577181,-2951.0228629580843,2.5,0.965,0.2
Serie_1,3.3234899328859058,-2951.14651155789,2.5,0.965,0.2
Serie_1,3.3422818791946307,-2951.273896098657,2.5,0.965,0.2
Serie_1,3.3610738255033556,-2951.405013481463,2.5,0.965,0.2
Serie_1,3.3798657718120806,-2951.539860610952,2.5,0.965,0.2
Serie_1,3.3986577181208055,-2951.6784343952168,2.5,0.965,0.2
Serie_1,3.4174496644295296,-2951.820731745805,2.5,0.965,0.2
Serie_1,3.4362416107382545,-2951.966749577584,2.5,0.965,0.2
Serie_1,3.4550335570469795,-2952.1164848087496,2.5,0.965,0.2
Serie_1,3.4738255033557044,-2952.269934360791,2.5,0.965,0.2
Serie_1,3.4926174496644293,-2952.4270951582944,2.5,0.965,0.2
