series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6101012658227848,50,13,-8249.92991697113,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,14,-8247.922431681496,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,15,-8261.604120355127,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,16,-8291.280939699529,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,17,-8470.740494203848,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,18,-8155.76005914918,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,19,-8271.464481651488,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,20,-8331.353712958067,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,21,-8315.461602210595,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,22,-8145.374765698596,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,23,-8230.616684514944,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,24,-8308.374134025837,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,25,-8242.45082143145,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,26,-8235.778100079828,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,27,-8494.72739156245,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,28,-8171.298410571911,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,29,-8387.613215787149,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,0,-8131.13694836493,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,1,-8001.454883451981,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,2,-8222.5782129773,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,3,-8181.222114279424,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,4,-8223.572973981301,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,5,-8141.861983534808,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,6,-8209.973153398945,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,7,-8167.02507045786,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,8,-8206.536086815238,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,9,-8253.074001680012,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,10,-8069.7243478447435,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,11,-8137.222865575801,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,12,-8107.6924129444,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,13,-8246.879387773188,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,14,-8238.331032832171,0.965,2.5,0.2
Serie_1,0.6151518987341772,50,15,-8236.377780425126,0.965,2.5,0.2
