series,phi,loglik_exact,phi_true,nu,c
Serie_1,0.714286432160804,-4302.218770282069,0.965,2.5,0.2
Serie_1,0.7162914572864322,-4280.510361183111,0.965,2.5,0.2
Serie_1,0.7182964824120603,-4258.9794888531815,0.965,2.5,0.2
Serie_1,0.7203015075376884,-4237.626214851096,0.965,2.5,0.2
Serie_1,0.7223065326633166,-4216.450597387773,0.965,2.5,0.2
Serie_1,0.7243115577889447,-4195.45269130234,0.965,2.5,0.2
Serie_1,0.7263165829145728,-4174.632548038633,0.965,2.5,0.2
Serie_1,0.728321608040201,-4153.990215622267,0.965,2.5,0.2
Serie_1,0.7303266331658291,-4133.525738638244,0.965,2.5,0.2
Serie_1,0.7323316582914573,-4113.239158209082,0.965,2.5,0.2
Serie_1,0.7343366834170855,-4093.1305119734943,0.965,2.5,0.2
Serie_1,0.7363417085427135,-4073.199834065586,0.965,2.5,0.2
Serie_1,0.7383467336683417,-4053.4471550946305,0.965,2.5,0.2
Serie_1,0.7403517587939699,-4033.8725021253404,0.965,2.5,0.2
Serie_1,0.7423567839195979,-4014.475898658809,0.965,2.5,0.2
Serie_1,0.7443618090452261,-3995.257364613817,0.965,2.5,0.2
Serie_1,0.7463668341708543,-3976.2169163089557,0.965,2.5,0.2
Serie_1,0.7483718592964824,-3957.3545664450376,0.965,2.5,0.2
Serie_1,0.7503768844221106,-3938.6703240883417,0.965,2.5,0.2
Serie_1,0.7523819095477386,-3920.164194654245,0.965,2.5,0.2
Serie_1,0.7543869346733668,-3901.836179891527,0.965,2.5,0.2
Serie_1,0.756391959798995,-3883.686277867229,0.965,2.5,0.2
Serie_1,0.758396984924623,-3865.7144829521767,0.965,2.5,0.2
Serie_1,0.7604020100502512,-3847.9207858069217,0.965,2.5,0.2
Serie_1,0.7624070351758794,-3830.305173368532,0.965,2.5,0.2
Serie_1,0.7644120603015075,-3812.867628837785,0.965,2.5,0.2
Serie_1,0.7664170854271357,-3795.6081316670775,0.965,2.5,0.2
Serie_1,0.7684221105527638,-3778.526657548926,0.965,2.5,0.2
Serie_1,0.7704271356783919,-3761.623178405109,0.965,2.5,0.2
Serie_1,0.7724321608040201,-3744.897662376435,0.965,2.5,0.2
Serie_1,0.7744371859296482,-3728.3500738131393,0.965,2.5,0.2
Serie_1,0.7764422110552763,-3711.98037326593,0.965,2.5,0.2
Serie_1,0.7784472361809045,-3695.7885174777393,0.965,2.5,0.2
Serie_1,0.7804522613065327,-3679.7744593760576,0.965,2.5,0.2
Serie_1,0.7824572864321608,-3663.9381480659936,0.965,2.5,0.2
Serie_1,0.7844623115577889,-3648.2795288239945,0.965,2.5,0.2
Serie_1,0.7864673366834171,-3632.798543092264,0.965,2.5,0.2
Serie_1,0.7884723618090452,-3617.495128473885,0.965,2.5,0.2
Serie_1,0.7904773869346733,-3602.369218728648,0.965,2.5,0.2
Serie_1,0.7924824120603016,-3587.420743769588,0.965,2.5,0.2
Serie_1,0.7944874371859296,-3572.6496296602663,0.965,2.5,0.2
Serie_1,0.7964924623115578,-3558.055798612791,0.965,2.5,0.2
Serie_1,0.798497487437186,-3543.639168986625,0.965,2.5,0.2
Serie_1,0.800502512562814,-3529.39965528812,0.965,2.5,0.2
Serie_1,0.8025075376884422,-3515.337168170873,0.965,2.5,0.2
Serie_1,0.8045125628140704,-3501.4516144368927,0.965,2.5,0.2
Serie_1,0.8065175879396985,-3487.7428970385067,0.965,2.5,0.2
Serie_1,0.8085226130653267,-3474.2109150812807,0.965,2.5,0.2
Serie_1,0.8105276381909547,-3460.8555638275984,0.965,2.5,0.2
Serie_1,0.8125326633165829,-3447.676734701252,0.965,2.5,0.2
Serie_1,0.8145376884422111,-3434.6743152928993,0.965,2.5,0.2
Serie_1,0.8165427135678391,-3421.84818936645,0.965,2.5,0.2
